signature,support,majority_label,majority_count,purity,n_labels,is_deterministic,label_counts
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2)",20,6,12,0.6,4,False,"{6: 12, 20: 5, 0: 2, 48: 1}"
"(0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2)",20,48,9,0.45,6,False,"{48: 9, 20: 7, 41: 1, 27: 1, 22: 1, 18: 1}"
"(1, 3, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2)",20,48,9,0.45,6,False,"{48: 9, 22: 5, 20: 3, 41: 1, 36: 1, 6: 1}"
"(2, 1, 0, 2, 2, 2, 0, 3, 0, 0, 1, 0, 0, 0, 2, 3, 1, 1)",19,12,19,1.0,1,True,{12: 19}
"(1, 0, 0, 3, 0, 0, 0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 3, 0)",19,25,12,0.631578947368421,4,False,"{25: 12, 33: 5, 43: 1, 28: 1}"
"(0, 0, 3, 0, 0, 1, 3, 0, 3, 3, 1, 3, 3, 1, 0, 0, 0, 2)",19,17,7,0.3684210526315789,5,False,"{17: 7, 49: 6, 23: 2, 8: 2, 2: 2}"
"(2, 3, 0, 1, 3, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 3, 1, 0)",18,30,18,1.0,1,True,{30: 18}
"(0, 0, 3, 0, 1, 1, 3, 0, 3, 3, 1, 3, 3, 1, 0, 0, 0, 2)",18,17,8,0.4444444444444444,3,False,"{17: 8, 49: 6, 2: 4}"
"(0, 2, 1, 0, 1, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2)",18,20,7,0.3888888888888889,7,False,"{20: 7, 36: 2, 48: 2, 27: 2, 18: 2, 15: 2, 6: 1}"
"(3, 3, 0, 0, 2, 0, 0, 3, 0, 1, 0, 1, 1, 0, 2, 1, 1, 1)",17,37,17,1.0,1,True,{37: 17}
