rule_id,antecedent,antecedent_text,consequent,consequent_name,support,confidence,coverage,conflict_count,antecedent_length,original_antecedent_length,source,covered_indices_sample
R0034,"{'2': 0, '4': 2, '8': 0, '16': 1}",swims=s0 AND longneck=s2 AND water=s0 AND furry=s1,39,deer,3348,0.14994026284348866,0.14951100790425578,2846,4,4,semantic_prototype,"[3, 7, 15, 20, 31, 44, 48, 50, 51, 56, 59, 61, 65, 73, 74, 77, 88, 101, 105, 109]"
R0035,"{'3': 3, '11': 0, '15': 1, '17': 0}",paws=s3 AND plankton=s0 AND yellow=s1 AND toughskin=s0,21,fox,1422,0.14556962025316456,0.06350198722815166,1215,4,4,semantic_prototype,"[10, 18, 23, 33, 47, 53, 66, 72, 83, 89, 90, 91, 112, 123, 124, 129, 147, 159, 167, 181]"
R0036,"{'1': 0, '3': 3, '16': 3, '17': 0}",hooves=s0 AND paws=s3 AND furry=s3 AND toughskin=s0,5,persian cat,2924,0.14124487004103967,0.1305765194480418,2511,4,4,semantic_prototype,"[10, 33, 53, 54, 66, 71, 72, 80, 82, 83, 85, 89, 91, 97, 112, 116, 130, 134, 135, 142]"
R0037,"{'6': 3, '9': 3, '11': 3, '12': 3}",ocean=s3 AND flippers=s3 AND plankton=s3 AND skimmer=s3,2,killer whale,1132,0.13780918727915195,0.05055151163309963,976,4,4,semantic_prototype,"[43, 67, 115, 164, 172, 195, 211, 240, 255, 281, 291, 309, 326, 405, 418, 424, 449, 454, 481, 488]"
R0038,"{'5': 0, '7': 3, '13': 0, '16': 1}",hunter=s0 AND quadrapedal=s3 AND small=s0 AND furry=s1,48,cow,3051,0.1376597836774828,0.13624793462242665,2631,4,4,semantic_prototype,"[12, 20, 26, 31, 36, 39, 42, 50, 51, 61, 64, 65, 70, 76, 84, 101, 105, 106, 109, 119]"
R0039,"{'6': 0, '7': 2, '8': 0, '10': 3}",ocean=s0 AND quadrapedal=s2 AND water=s0 AND hands=s3,16,spider monkey,615,0.11869918699186992,0.02746393962398964,542,4,4,semantic_prototype,"[37, 40, 108, 168, 257, 263, 356, 425, 520, 550, 602, 614, 625, 665, 688, 696, 728, 759, 850, 979]"
R0040,"{'3': 0, '13': 0, '16': 1, '17': 2}",paws=s0 AND small=s0 AND furry=s1 AND toughskin=s2,20,ox,2820,0.1099290780141844,0.12593221095878177,2510,4,4,semantic_prototype,"[8, 12, 29, 36, 42, 49, 50, 51, 58, 61, 64, 68, 76, 84, 101, 109, 113, 119, 122, 128]"
R0041,"{'5': 0, '13': 3, '15': 0, '17': 0}",hunter=s0 AND small=s3 AND yellow=s0 AND toughskin=s0,33,rat,1208,0.10844370860927152,0.053945429375251194,1077,4,4,semantic_prototype,"[14, 32, 80, 126, 135, 142, 154, 165, 179, 215, 220, 234, 242, 256, 267, 312, 329, 340, 364, 379]"
R0042,"{'3': 0, '13': 0, '16': 1, '17': 2}",paws=s0 AND small=s0 AND furry=s1 AND toughskin=s2,27,rhinoceros,2820,0.09893617021276596,0.12593221095878177,2541,4,4,semantic_prototype,"[8, 12, 29, 36, 42, 49, 50, 51, 58, 61, 64, 68, 76, 84, 101, 109, 113, 119, 122, 128]"
R0043,"{'1': 0, '10': 2, '15': 0, '17': 0}",hooves=s0 AND hands=s2 AND yellow=s0 AND toughskin=s0,10,skunk,855,0.09239766081871345,0.03818157459920511,776,4,4,semantic_prototype,"[71, 85, 130, 154, 166, 177, 310, 327, 369, 382, 393, 400, 430, 431, 447, 530, 543, 555, 632, 680]"
R0044,"{'5': 0, '11': 0, '12': 0, '15': 0}",hunter=s0 AND plankton=s0 AND skimmer=s0 AND yellow=s0,41,pig,3081,0.09217786432976306,0.13758763899432858,2797,4,4,semantic_prototype,"[11, 14, 25, 28, 34, 35, 36, 55, 73, 80, 84, 100, 107, 109, 111, 114, 119, 126, 135, 142]"
R0045,"{'2': 3, '6': 3, '11': 3, '12': 3}",swims=s3 AND ocean=s3 AND plankton=s3 AND skimmer=s3,8,blue whale,1174,0.08773424190800681,0.052427097753762336,1071,4,4,semantic_prototype,"[43, 67, 115, 164, 172, 195, 211, 240, 255, 281, 291, 309, 326, 405, 418, 424, 449, 454, 481, 488]"
R0046,"{'0': 0, '3': 0, '7': 1, '9': 2}",stripes=s0 AND paws=s0 AND quadrapedal=s1 AND flippers=s2,46,walrus,587,0.07666098807495741,0.026213548876881168,542,4,4,semantic_prototype,"[176, 221, 315, 322, 341, 409, 489, 491, 594, 627, 663, 685, 691, 754, 788, 802, 848, 863, 953, 988]"
R0047,"{'1': 0, '3': 3, '16': 3, '17': 0}",hooves=s0 AND paws=s3 AND furry=s3 AND toughskin=s0,47,raccoon,2924,0.073187414500684,0.1305765194480418,2710,4,4,semantic_prototype,"[10, 33, 53, 54, 66, 71, 72, 80, 82, 83, 85, 89, 91, 97, 112, 116, 130, 134, 135, 142]"
R0048,"{'3': 0, '5': 0, '15': 0, '16': 1}",paws=s0 AND hunter=s0 AND yellow=s0 AND furry=s1,15,moose,2827,0.06827025114962858,0.12624480864555887,2634,4,4,semantic_prototype,"[12, 25, 36, 42, 50, 51, 60, 64, 73, 76, 81, 84, 107, 109, 114, 119, 122, 128, 148, 152]"
R0049,"{'1': 0, '3': 3, '16': 3, '17': 0}",hooves=s0 AND paws=s3 AND furry=s3 AND toughskin=s0,9,siamese cat,2924,0.0677154582763338,0.1305765194480418,2726,4,4,semantic_prototype,"[10, 33, 53, 54, 66, 71, 72, 80, 82, 83, 85, 89, 91, 97, 112, 116, 130, 134, 135, 142]"
R0050,"{'1': 0, '4': 0, '7': 1, '17': 1}",hooves=s0 AND longneck=s0 AND quadrapedal=s1 AND toughskin=s1,3,beaver,572,0.05244755244755245,0.025543696690930203,542,4,4,semantic_prototype,"[21, 34, 45, 62, 100, 132, 140, 175, 180, 206, 218, 219, 232, 250, 260, 307, 357, 370, 386, 417]"
R0051,"{'5': 0, '7': 2, '13': 3, '17': 0}",hunter=s0 AND quadrapedal=s2 AND small=s3 AND toughskin=s0,43,mouse,1058,0.0444234404536862,0.047246907515741524,1011,4,4,semantic_prototype,"[14, 80, 112, 126, 135, 165, 179, 220, 242, 256, 345, 364, 368, 382, 400, 403, 407, 419, 440, 447]"
R0052,"{'7': 3, '8': 0, '11': 0, '12': 0}",quadrapedal=s3 AND water=s0 AND plankton=s0 AND skimmer=s0,32,chihuahua,6237,0.04264870931537598,0.278524538918412,5971,4,4,semantic_prototype,"[3, 5, 7, 10, 11, 23, 28, 33, 36, 38, 46, 47, 48, 52, 53, 54, 56, 59, 65, 72]"
R0053,"{'1': 0, '2': 1, '9': 1, '17': 0}",hooves=s0 AND swims=s1 AND flippers=s1 AND toughskin=s0,34,weasel,1707,0.0421792618629174,0.07622917876122003,1635,4,4,semantic_prototype,"[0, 4, 16, 18, 71, 116, 120, 124, 130, 167, 183, 198, 225, 273, 296, 324, 325, 327, 340, 366]"
R0054,"{'1': 0, '4': 0, '5': 0, '15': 0}",hooves=s0 AND longneck=s0 AND hunter=s0 AND yellow=s0,11,mole,1168,0.0410958904109589,0.05215915687938195,1120,4,4,semantic_prototype,"[13, 32, 34, 35, 62, 80, 100, 132, 135, 142, 154, 166, 267, 340, 357, 379, 400, 403, 409, 415]"
