dataset,seed,method,n_components,q,train_objects,validation_objects,test_objects,fit_seconds,total_seconds,explained_variance_ratio_sum,selected_ridge_alpha,train_mae,train_rmse,train_semantic_correlation_mean,val_mae,val_rmse,val_semantic_correlation_mean,test_mae,test_rmse,test_semantic_correlation_mean,coverage,abstention_rate,conflict_rate,fallback_rate,exact_rate,covered_accuracy,covered_macro_f1,all_object_accuracy,rule_count,granule_count,mean_rule_length,mean_rule_confidence,threshold_count,covered_fidelity_to_base,all_object_fidelity_to_base
AwA2,44,Equal frequency,64,18,22393,7464,7465,5.707110643386841,5.731565237045288,0.5291149616241455,0.01,0.10272531859559624,0.1483607984100631,0.8076564689931406,0.10298156819904328,0.1484478110692775,0.8073885988256587,0.10207483972659373,0.14742212881592046,0.8099069703139593,0.7753516409912927,0.22464835900870728,0.2231748158070998,0.05987943737441393,0.9401205626255861,0.30736005528680027,0.19860766535014046,0.23831212324179504,50,18325,4.34,0.2394061828781972,36,0.3075328265376641,0.23844608171466844
AwA2,44,Equal width,64,18,22393,7464,7465,5.171229362487793,5.199507713317871,0.5291149616241455,0.01,0.10272531859559624,0.1483607984100631,0.8076564689931406,0.10298156819904328,0.1484478110692775,0.8073885988256587,0.10207483972659373,0.14742212881592046,0.8099069703139593,0.718151373074347,0.28184862692565305,0.28184862692565305,0.0,1.0,0.39843312814773363,0.2625833004926081,0.2861352980576021,68,1465,3.75,0.4970097960920764,36,0.40104458123484427,0.28801071667782985
AwA2,45,WEDD,64,18,22393,7464,7465,6.794066667556763,6.818479776382446,0.5279862880706787,0.01,0.10293530611416978,0.148472045081571,0.8073708937959868,0.10269727165178377,0.14809619304104615,0.8071629951089022,0.10275015058582741,0.14817978578466862,0.8071733526193384,0.9027461486939049,0.0972538513060951,0.0826523777628935,0.10368385800401875,0.8963161419959812,0.40480783499035466,0.3208054185890217,0.3654387139986604,59,15127,4.0508474576271185,0.4398854104169848,54,0.4128208933076124,0.3726724715338245
AwA2,45,MDLP-like entropy,64,18,22393,7464,7465,6.901277780532837,6.928135633468628,0.5279862880706787,0.01,0.10293530611416978,0.148472045081571,0.8073708937959868,0.10269727165178377,0.14809619304104615,0.8071629951089022,0.10275015058582741,0.14817978578466862,0.8071733526193384,0.7713328868050904,0.22866711319490962,0.2112525117213664,0.10850636302746149,0.8914936369725385,0.3872872525182355,0.2974002775430855,0.29872739450770264,55,15736,4.127272727272727,0.3916821168063817,54,0.3867662382771796,0.2983255190890824
AwA2,45,Equal frequency,64,18,22393,7464,7465,5.363031387329102,5.385314702987671,0.5279862880706787,0.01,0.10293530611416978,0.148472045081571,0.8073708937959868,0.10269727165178377,0.14809619304104615,0.8071629951089022,0.10275015058582741,0.14817978578466862,0.8071733526193384,0.7292699263228399,0.27073007367716007,0.26898861352980574,0.061486939048894844,0.9385130609511052,0.3008817046289493,0.173622843010117,0.21942397856664433,50,17761,4.14,0.18591926845371265,36,0.30749448934606904,0.2242464835900871
AwA2,45,Equal width,64,18,22393,7464,7465,5.631746530532837,5.653275966644287,0.5279862880706787,0.01,0.10293530611416978,0.148472045081571,0.8073708937959868,0.10269727165178377,0.14809619304104615,0.8071629951089022,0.10275015058582741,0.14817978578466862,0.8071733526193384,0.6120562625586068,0.3879437374413932,0.38794373744139315,0.0,1.0,0.5005471656817685,0.27936471503765764,0.3063630274614869,64,1619,3.609375,0.4661482641892749,36,0.49770190413657256,0.30462156731413265
AwA2,46,WEDD,64,18,22393,7464,7465,6.866926431655884,6.901918649673462,0.5295455455780029,0.01,0.10304854668483879,0.1485183931020151,0.8068395565598131,0.10342400366197828,0.14906960212525144,0.8050907780849424,0.10289811690521564,0.14832363463820775,0.8066455971545615,0.7721366376423309,0.22786336235766913,0.214735432016075,0.07501674480910918,0.9249832551908909,0.3887925052047189,0.28621275340283997,0.3002009377093101,62,14598,4.112903225806452,0.4647427031371575,54,0.3985079805690493,0.30770261219022105
AwA2,46,MDLP-like entropy,64,18,22393,7464,7465,6.813674211502075,6.8385937213897705,0.5295455455780029,0.01,0.10304854668483879,0.1485183931020151,0.8068395565598131,0.10342400366197828,0.14906960212525144,0.8050907780849424,0.10289811690521564,0.14832363463820775,0.8066455971545615,0.8525117213663764,0.14748827863362357,0.12819825853985264,0.08479571332886805,0.915204286671132,0.362193588937775,0.26158323815549905,0.30877427997320833,55,15589,4.109090909090909,0.3690492654844215,54,0.37099308610936516,0.3162759544541192
AwA2,46,Equal frequency,64,18,22393,7464,7465,5.343464136123657,5.365675449371338,0.5295455455780029,0.01,0.10304854668483879,0.1485183931020151,0.8068395565598131,0.10342400366197828,0.14906960212525144,0.8050907780849424,0.10289811690521564,0.14832363463820775,0.8066455971545615,0.8162089752176825,0.18379102478231746,0.18218352310783656,0.052109845947756195,0.9478901540522437,0.29115378302970624,0.17520665463113844,0.237642330877428,50,17152,4.12,0.198108705026659,36,0.3064172000656491,0.25010046885465503
AwA2,46,Equal width,64,18,22393,7464,7465,5.186541318893433,5.211689233779907,0.5295455455780029,0.01,0.10304854668483879,0.1485183931020151,0.8068395565598131,0.10342400366197828,0.14906960212525144,0.8050907780849424,0.10289811690521564,0.14832363463820775,0.8066455971545615,0.5898191560616209,0.41018084393837906,0.4101808439383791,0.0,1.0,0.4744492391551215,0.2526108434077471,0.27983924983255193,64,1627,3.640625,0.4673600705749832,36,0.48080853963206904,0.28359008707300737
