rule_id,antecedent,antecedent_text,consequent,consequent_name,support,confidence,coverage,conflict_count,antecedent_length,original_antecedent_length,source,covered_indices_sample
R0035,"{'2': 3, '7': 0, '9': 3, '17': 3}",stalker=s3 AND hairless=s0 AND claws=s3 AND hunter=s3,40,bobcat,1485,0.19528619528619529,0.06631536640914572,1195,4,4,semantic_prototype,"[0, 5, 10, 16, 19, 38, 44, 54, 77, 93, 121, 153, 183, 202, 216, 229, 231, 239, 295, 302]"
R0036,"{'1': 3, '4': 3, '5': 0, '9': 0}",hooves=s3 AND grazer=s3 AND paws=s0 AND claws=s0,0,antelope,3071,0.1637902963204168,0.1371410708703613,2568,4,4,semantic_prototype,"[7, 20, 31, 50, 59, 64, 70, 73, 74, 78, 81, 88, 101, 105, 106, 109, 110, 113, 118, 119]"
R0037,"{'2': 0, '8': 1, '9': 2, '17': 1}",stalker=s0 AND yellow=s1 AND claws=s2 AND hunter=s1,29,bat,204,0.15196078431372548,0.009109989728933149,173,4,4,semantic_prototype,"[32, 315, 390, 491, 501, 530, 700, 729, 850, 886, 893, 951, 992, 1193, 1488, 1759, 2036, 2059, 2080, 2294]"
R0038,"{'6': 0, '7': 0, '13': 3, '16': 3}",flippers=s0 AND hairless=s0 AND hands=s3 AND tree=s3,16,spider monkey,756,0.1388888888888889,0.03376055017192873,651,4,4,semantic_prototype,"[17, 21, 34, 62, 108, 132, 168, 232, 257, 263, 356, 357, 425, 510, 520, 582, 602, 614, 625, 650]"
R0039,"{'3': 0, '4': 3, '12': 0, '15': 0}",ocean=s0 AND grazer=s3 AND water=s0 AND bipedal=s0,39,deer,3885,0.1341055341055341,0.1734917161613004,3364,4,4,semantic_prototype,"[2, 3, 31, 39, 50, 52, 56, 61, 70, 73, 74, 76, 78, 81, 84, 88, 101, 105, 106, 109]"
R0040,"{'3': 3, '6': 3, '7': 3, '12': 3}",ocean=s3 AND flippers=s3 AND hairless=s3 AND water=s3,2,killer whale,1371,0.11962071480671042,0.061224489795918366,1207,4,4,semantic_prototype,"[43, 67, 115, 164, 172, 195, 211, 240, 255, 281, 291, 309, 326, 348, 405, 418, 424, 445, 449, 454]"
R0041,"{'5': 3, '7': 0, '12': 0, '14': 0}",paws=s3 AND hairless=s0 AND water=s0 AND vegetation=s0,45,collie,2815,0.11793960923623446,0.1257089268967981,2483,4,4,semantic_prototype,"[0, 5, 10, 16, 18, 24, 27, 33, 44, 53, 54, 66, 72, 77, 82, 90, 91, 93, 97, 116]"
R0042,"{'4': 0, '5': 3, '7': 0, '14': 0}",grazer=s0 AND paws=s3 AND hairless=s0 AND vegetation=s0,7,german shepherd,3581,0.09969282323373359,0.15991604519269415,3224,4,4,semantic_prototype,"[0, 5, 10, 16, 18, 19, 24, 27, 44, 53, 54, 66, 72, 77, 80, 82, 87, 89, 90, 91]"
R0043,"{'1': 0, '5': 3, '7': 0, '14': 0}",hooves=s0 AND paws=s3 AND hairless=s0 AND vegetation=s0,5,persian cat,3442,0.09500290528762348,0.15370874826954853,3115,4,4,semantic_prototype,"[0, 5, 10, 16, 19, 24, 27, 44, 53, 54, 66, 72, 77, 80, 82, 87, 89, 90, 91, 93]"
R0044,"{'3': 0, '6': 0, '12': 0, '17': 0}",ocean=s0 AND flippers=s0 AND water=s0 AND hunter=s0,48,cow,7139,0.07970303964140636,0.3188049837002635,6570,4,4,semantic_prototype,"[2, 3, 4, 14, 25, 28, 31, 34, 36, 50, 59, 62, 65, 70, 73, 74, 76, 81, 84, 88]"
R0045,"{'0': 1, '1': 0, '4': 0, '7': 0}",stripes=s1 AND hooves=s0 AND grazer=s0 AND hairless=s0,47,raccoon,2379,0.07944514501891552,0.10623855669182333,2190,4,4,semantic_prototype,"[0, 5, 10, 14, 16, 17, 24, 27, 54, 77, 83, 108, 112, 121, 126, 134, 139, 146, 154, 163]"
R0046,"{'3': 3, '6': 3, '7': 3, '12': 3}",ocean=s3 AND flippers=s3 AND hairless=s3 AND water=s3,8,blue whale,1371,0.06856309263311451,0.061224489795918366,1277,4,4,semantic_prototype,"[43, 67, 115, 164, 172, 195, 211, 240, 255, 281, 291, 309, 326, 348, 405, 418, 424, 445, 449, 454]"
R0047,"{'1': 0, '2': 0, '3': 2, '4': 0}",hooves=s0 AND stalker=s0 AND ocean=s2 AND grazer=s0,46,walrus,383,0.06788511749347259,0.01710355914794802,357,4,4,semantic_prototype,"[32, 95, 104, 162, 206, 219, 260, 315, 322, 341, 386, 600, 601, 693, 748, 854, 893, 971, 1052, 1102]"
R0048,"{'3': 0, '5': 3, '6': 0, '12': 0}",ocean=s0 AND paws=s3 AND flippers=s0 AND water=s0,32,chihuahua,4470,0.04899328859060403,0.19961595141338812,4251,4,4,semantic_prototype,"[0, 4, 5, 10, 16, 18, 22, 23, 24, 30, 33, 38, 44, 46, 53, 54, 65, 66, 72, 77]"
R0049,"{'1': 0, '2': 0, '6': 0, '10': 2}",hooves=s0 AND stalker=s0 AND flippers=s0 AND hops=s2,43,mouse,846,0.04728132387706856,0.037779663287634525,806,4,4,semantic_prototype,"[14, 34, 62, 91, 112, 123, 132, 135, 136, 288, 345, 357, 379, 406, 408, 439, 456, 476, 477, 486]"
R0050,"{'1': 0, '4': 0, '5': 3, '14': 0}",hooves=s0 AND grazer=s0 AND paws=s3 AND vegetation=s0,9,siamese cat,4149,0.04724029886719691,0.18528111463403743,3953,4,4,semantic_prototype,"[0, 5, 10, 13, 16, 19, 24, 26, 27, 32, 44, 46, 53, 54, 66, 72, 77, 80, 82, 87]"
R0051,"{'3': 0, '6': 0, '7': 0, '12': 0}",ocean=s0 AND flippers=s0 AND hairless=s0 AND water=s0,21,fox,8831,0.04008606046880308,0.39436431027553254,8477,4,4,semantic_prototype,"[0, 4, 5, 10, 14, 15, 16, 18, 21, 22, 23, 24, 30, 31, 33, 34, 38, 39, 40, 44]"
R0052,"{'0': 0, '3': 0, '6': 0, '14': 2}",stripes=s0 AND ocean=s0 AND flippers=s0 AND vegetation=s2,41,pig,4616,0.03986135181975736,0.20613584602331086,4432,4,4,semantic_prototype,"[3, 21, 22, 23, 25, 28, 29, 30, 36, 37, 40, 50, 52, 64, 73, 78, 81, 84, 85, 88]"
R0053,"{'1': 0, '3': 0, '6': 0, '11': 0}",hooves=s0 AND ocean=s0 AND flippers=s0 AND jungle=s0,33,rat,2328,0.037800687285223365,0.10396105925959005,2240,4,4,semantic_prototype,"[4, 10, 11, 14, 23, 30, 46, 72, 82, 83, 89, 90, 91, 98, 112, 123, 142, 147, 159, 165]"
R0054,"{'0': 0, '3': 0, '6': 0, '12': 0}",stripes=s0 AND ocean=s0 AND flippers=s0 AND water=s0,15,moose,7823,0.032468362520772086,0.34935024337962756,7569,4,4,semantic_prototype,"[3, 4, 21, 22, 23, 25, 28, 29, 30, 33, 34, 36, 37, 38, 40, 50, 52, 53, 59, 62]"
R0055,"{'1': 0, '4': 0, '7': 0, '9': 2}",hooves=s0 AND grazer=s0 AND hairless=s0 AND claws=s2,34,weasel,2669,0.03147246159610341,0.11918903228687536,2585,4,4,semantic_prototype,"[17, 22, 23, 24, 27, 69, 80, 83, 89, 90, 91, 98, 104, 108, 112, 116, 124, 127, 130, 135]"
R0056,"{'1': 0, '4': 0, '9': 2, '11': 0}",hooves=s0 AND grazer=s0 AND claws=s2 AND jungle=s0,3,beaver,2168,0.018911439114391145,0.09681596927611306,2127,4,4,semantic_prototype,"[23, 27, 32, 46, 80, 83, 89, 90, 91, 98, 100, 112, 116, 123, 127, 130, 140, 142, 159, 177]"
R0057,"{'1': 0, '2': 0, '4': 0, '8': 0}",hooves=s0 AND stalker=s0 AND grazer=s0 AND yellow=s0,11,mole,2001,0.018490754622688656,0.08935828160585897,1964,4,4,semantic_prototype,"[4, 13, 14, 34, 80, 91, 100, 104, 111, 112, 126, 132, 140, 164, 176, 177, 206, 219, 223, 225]"
