scene_category,scene_leaf_examples,n_objects,n_classes,n,coverage,abstention_rate,conflict_rate,all_object_accuracy,all_object_fidelity_to_base,covered_accuracy,covered_fidelity_to_base
dacha,dacha,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
dairy/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
day_care_center,day_care_center,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
dentists_office,dentists_office,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
departure_lounge,departure_lounge,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
desert/sand,sand,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
desert/vegetation,vegetation,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
desert_road,desert_road,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
diner/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
diner/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
dinette/home,home,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
dinette/vehicle,vehicle,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
dining_car,dining_car,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
dining_room,dining_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
dock,dock,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
dolmen,dolmen,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
donjon,donjon,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
doorway/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
dorm_room,dorm_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
downtown,downtown,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
drainage_ditch,drainage_ditch,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
dugout,dugout,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
editing_room,editing_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
elevator/door,door,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
elevator/freight_elevator,freight_elevator,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
elevator_lobby,elevator_lobby,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
elevator_shaft,elevator_shaft,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
embassy,embassy,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
engine_room,engine_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
escalator/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
escalator/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
estuary,estuary,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
factory/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
farm,farm,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
fastfood_restaurant,fastfood_restaurant,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
fence,fence,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ferryboat/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
field/wild,wild,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
field_road,field_road,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
fire_escape,fire_escape,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
fire_station,fire_station,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
firing_range/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
fjord,fjord,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
flea_market/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
flea_market/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
flight_of_stairs/urban,urban,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
flood,flood,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
florist_shop/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
fly_bridge,fly_bridge,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
food_court,food_court,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
forest/broadleaf,broadleaf,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
forest/needleleaf,needleleaf,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
forest_road,forest_road,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
formal_garden,formal_garden,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
fort,fort,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
fortress,fortress,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
foundry/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
freeway,freeway,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
game_room,game_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
gangplank,gangplank,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
garage/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
garage/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
gas_station,gas_station,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
gasworks,gasworks,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
gatehouse,gatehouse,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
gazebo/exterior,exterior,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
general_store/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
general_store/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
geodesic_dome/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ghost_town,ghost_town,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
gift_shop,gift_shop,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
glacier,glacier,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
gorge,gorge,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
greenhouse/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
guardhouse,guardhouse,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
gulch,gulch,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
gun_deck/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
gymnasium/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hacienda,hacienda,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hangar/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
harbor,harbor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
heath,heath,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hedgerow,hedgerow,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
herb_garden,herb_garden,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
highway,highway,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hill,hill,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
home_office,home_office,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
home_theater,home_theater,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hospital,hospital,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hospital_room,hospital_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hot_spring,hot_spring,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hot_tub/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hotel/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hotel_breakfast_area,hotel_breakfast_area,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
house,house,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hunting_lodge/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hunting_lodge/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
hut,hut,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ice_floe,ice_floe,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ice_skating_rink/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ice_skating_rink/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
iceberg,iceberg,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
industrial_park,industrial_park,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
inn/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
inn/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
irrigation_ditch,irrigation_ditch,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
islet,islet,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
jail/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
jail/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
jewelry_shop,jewelry_shop,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
junk_pile,junk_pile,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
junkyard,junkyard,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
jury_box,jury_box,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
kasbah,kasbah,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
kennel/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
kindergarden_classroom,kindergarden_classroom,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
kiosk/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
kiosk/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
kitchen,kitchen,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
kitchenette,kitchenette,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
lab_classroom,lab_classroom,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
labyrinth/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
lagoon,lagoon,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
lake/natural,natural,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
laundromat,laundromat,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
lean-to,lean-to,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
lecture_room,lecture_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
levee,levee,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
library/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
library/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
lighthouse,lighthouse,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
limousine_interior,limousine_interior,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
liquor_store/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
liquor_store/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
living_room,living_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
loading_dock,loading_dock,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
lobby,lobby,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
lock_chamber,lock_chamber,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
locker_room,locker_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
lookout_station/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
machine_shop,machine_shop,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
manhole,manhole,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
manufactured_home,manufactured_home,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
market/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
marsh,marsh,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
mastaba,mastaba,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
mausoleum,mausoleum,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
medina,medina,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
mesa,mesa,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
military_hospital,military_hospital,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
military_hut,military_hut,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
mission,mission,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
moat/dry,dry,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
mobile_home,mobile_home,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
moor,moor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
morgue,morgue,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
mosque/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
mountain,mountain,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
mountain_path,mountain_path,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
mountain_road,mountain_road,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
mountain_snowy,mountain_snowy,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
movie_theater/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
movie_theater/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
museum/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
museum/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
music_store,music_store,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
music_studio,music_studio,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
natural_history_museum,natural_history_museum,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
newsroom,newsroom,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
newsstand/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
nuclear_power_plant/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
nuclear_power_plant/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
nursery,nursery,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
nursing_home,nursing_home,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
oasis,oasis,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
oast_house,oast_house,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
observatory/indoor,indoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
ocean,ocean,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
office,office,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
office_building,office_building,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
office_cubicles,office_cubicles,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
oil_refinery/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
operating_room,operating_room,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
optician,optician,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
orchard,orchard,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
organ_loft/exterior,exterior,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
outcropping,outcropping,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
outhouse/outdoor,outdoor,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
overpass,overpass,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
packaging_plant,packaging_plant,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
pagoda,pagoda,4,1,4.0,0.0,1.0,1.0,0.0,0.0,,
